"#","Nome do Produto","SKU","Categoria","Prioridade","Repostável","Status Post","Link do Produto","Link da Imagem","Legenda Instagram","Observações","Ordem de Postagem"
"45","Chapéu Country Star by Manu Feltro de Lã Marrom com Fita de Gorgurão Marrom e Aplique Estrela de Metal","147.11.92","Chapéu","Normal","Não","Não Postado","https://www.chapelariaacessorios.com.br/chapeus/colecao-manu-by-sibu/chapeu-country-star-black-by-manu-la-preto-com-fita-de-gorgurao-e-aplique-estrela-de-metal","https://images.tcdn.com.br/img/img_prod/1063786/chapeu_country_star_by_manu_la_marrom_com_fita_de_gorgurao_marrom_e_aplique_estrela_de_metal_45_1_6fe88683656bc94dd2a3b1978a6e8372.jpg","","Marca: Sibu Company","1"
"83","Quepe Militar Modelo Exército","054.00.06.025","Quepe","Normal","Não","Não Postado","https://www.chapelariaacessorios.com.br/quepes/quepe-exercito/quepe-militar-modelo-exercito","https://images.tcdn.com.br/img/img_prod/1063786/quepe_militar_modelo_exercito_83_1_130cfcd5c0d1a8da54084a9448d069be.jpg","","","2"
"85","Quepe Militar Modelo Bombeiro","055.00.06.057","Quepe","Normal","Não","Não Postado","https://www.chapelariaacessorios.com.br/quepes/quepe-bombeiro/quepe-militar-modelo-bombeiro","https://images.tcdn.com.br/img/img_prod/1063786/quepe_militar_modelo_bombeiro_85_1_f6678931c52185a571eed6afe6d8f688.jpg","","","3"
"87","Quepe Militar Modelo Aeronáutica","056.00.06.024","Quepe","Normal","Não","Não Postado","https://www.chapelariaacessorios.com.br/quepes/quepe-aeronautica/quepe-militar-modelo-aeronautica","https://images.tcdn.com.br/img/img_prod/1063786/quepe_militar_modelo_aeronautica_87_1_54bec4557065dbdd42948c9b0991ce8b.jpg","","","4"
"89","Quepe Modelo Motorista","057.00.06.022","Quepe","Normal","Não","Não Postado","https://www.chapelariaacessorios.com.br/quepes/quepe-motorista/quepe-modelo-motorista","https://images.tcdn.com.br/img/img_prod/1063786/quepe_modelo_motorista_89_1_bb760d0e5ed9e463cd64ce025f665830.jpg","","","5"
"91","Quepe Militar Modelo Marinha","058.00.06.023","Quepe","Normal","Não","Não Postado","https://www.chapelariaacessorios.com.br/quepes/quepe-marinha/quepe-militar-modelo-marinha","https://images.tcdn.com.br/img/img_prod/1063786/quepe_militar_modelo_marinha_91_1_822cac8364f71709ab4b605ac9df2de9.jpg","","","6"
"93","Quepe Modelo Policial","049.00.06.022","Quepe","Normal","Não","Não Postado","https://www.chapelariaacessorios.com.br/quepes/quepe-policial/quepe-modelo-policial","https://images.tcdn.com.br/img/img_prod/1063786/quepe_modelo_policial_93_1_88d1f3908c375446eabd3954eaf06dfa.jpg","","","7"
"95","Boina Colegial em Feltro de Lã Vermelho Bombeiro","089.61.16.921","Boina","Normal","Não","Não Postado","https://www.chapelariaacessorios.com.br/boinas-militares/colegial/boina-colegial-de-feltro-azul-marinho","https://images.tcdn.com.br/img/img_prod/1063786/boina_colegial_em_feltro_95_1_3b32ab1631f92e4f6fcf04d4f93c73e4.jpg","","Marca: San Doná","8"
"113","Boné Ciclista em Tecido","134.00.06.040","Boné","Normal","Não","Não Postado","https://www.chapelariaacessorios.com.br/viseiras/bone-ciclista/bone-ciclista-de-tecido-rosa","https://images.tcdn.com.br/img/img_prod/1063786/bone_ciclista_de_tecido_rosa_113_1_8f130a3fa85e41dce412cc05f0c1629f.jpg","","","9"
"115","Viseira Ciclista em Tecido","135.00.06","Viseira","Normal","Não","Não Postado","https://www.chapelariaacessorios.com.br/viseiras/viseira-ciclista/viseira-ciclista-de-tecido-azul","https://images.tcdn.com.br/img/img_prod/1063786/viseira_ciclista_de_tecido_azul_115_1_e27579669eaef70e740d3b3f3b129a93.jpg","","","10"
