"#","Nome do Produto","SKU","Categoria","Prioridade","Repostável","Status Post","Link do Produto","Link da Imagem","Legenda Instagram","Observações","Ordem de Postagem"
"1417","Chapéu Countryside Panamá Legítimo Bigalli Putty","biga23001-C35","Chapéu","Normal","Não","Publicado","https://www.mariachapeu.com.br/chapeu-countryside-panama-legitimo-bigalli-putty.html","https://www.mariachapeu.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/i/bigalli_hats_countryside_putty_p.jpg","Chapéu Countryside Panamá Legítimo Bigalli Putty
Palha toquilha 100% legítima do Equador, aba média de 7 cm e aquela cor putty que combina com tudo sem precisar tentar. Um chapéu que chega antes de você, feito à mão por quem leva o ofício a sério.
Disponível na Maria Chapéu. 🔗 Link na bio.","Marca: Bigalli","1"
"567","Boina Masculina Liverpool Lisa Preta San Doná","038.64.09.022","Boina","Normal","Não","Publicado","https://www.mariachapeu.com.br/boina-masculina-liverpool-lisa-preta-san-dona.html","https://www.mariachapeu.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/o/boina-masculina-liverpool-street-preta_3_.jpg","Boina Masculina Liverpool Lisa Preta San Doná
Malha piquet, textura levemente engomada e aquele corte clássico que eleva qualquer look sem esforço. A Liverpool Preta da San Doná é a peça que você coloca e entende por que ela é a boina mais vendida da marca.
Disponível na Maria Chapéu. 🔗 Link na bio.","Marca: San Doná","2"
"2345","Chapéu Pralana Alpaca 10X Premium aba 7cm Preto","110123663360","Chapéu","Normal","Não","A Postar","https://www.mariachapeu.com.br/chapeu-pralana-alpaca-10x-premium-aba-7cm-preto.html","https://www.mariachapeu.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/h/chapeu_gustavo_lima_pralana_preto_alpaca_premium02.jpg","Chapéu Pralana Alpaca 10X Premium aba 7cm Preto
Feltro 100% lã, carneira de recouro e aquele acabamento que você sente na hora que coloca na cabeça. O Alpaca 10X da Pralana não precisa de apresentação — quem usa sabe o que tem nas mãos.
Disponível na Maria Chapéu. 🔗 Link na bio.","Marca: Pralana","3"
"2892","Viseira Feminina Cáqui Proteção Solar UV Manly","29200-caqui","Viseira","Normal","Não","A Postar","https://www.mariachapeu.com.br/viseira-feminina-caqui-protec-o-solar-uv-manly.html","https://www.mariachapeu.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/i/viseira-feminina-protecao-solar-uv-malu-caqui_2_.jpg","Viseira Feminina Cáqui Proteção Solar UV Manly
Proteção UV no tecido, copa fechada e aquele cáqui que vai bem com qualquer look de sol. A viseira da Manly é pra quem quer se cuidar sem abrir mão do estilo — cabelo à mostra, rosto protegido, visual completo.
Disponível na Maria Chapéu. 🔗 Link na bio.","Marca: Manly","4"
"1995","Chapéu Masculino Cury Indy Marrom","PL16-marrom","Chapéu","Normal","Não","A Postar","https://www.mariachapeu.com.br/chapeu-masculino-cury-indy-marrom.html","https://www.mariachapeu.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/h/chapeu-masculino-cury-indy-marrom_2_.jpg","Chapéu Masculino Cury Indy Marrom
Aba larga, feltro 100% lã, carneira de couro e aquele vinco bem marcado que a Cury domina. O Indy Marrom tem a energia de um chapéu que não precisa de ocasião especial — ele faz qualquer saída parecer intencional.
Disponível na Maria Chapéu. 🔗 Link na bio.","Marca: Cury","5"
"918","Boné Tradicional Feltro Preto San Doná","039.63.04.022","Boné","Normal","Não","A Postar","https://www.mariachapeu.com.br/bone-tradicional-feltro-preto-san-dona.html","https://www.mariachapeu.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/o/boina_tradicional_soft_feltro_preto.jpg","Boné Tradicional Feltro Preto San Doná
Lã 100% de carneiro, copa tradicional e aba de 4 cm com acabamento que surpreende. O Boné Tradicional Preto da San Doná é aquela peça simples que agrega muito ao look de inverno — quente, confortável e com personalidade própria.
Disponível na Maria Chapéu. 🔗 Link na bio.","Marca: San Doná","6"
"2700","Chapéu Stetson Pêlo de Lebre 3X Preto","64008-STETSON PRETO","Chapéu","Normal","Não","A Postar","https://www.mariachapeu.com.br/chapeu-stetson-pelo-de-lebre-3x-preto.html","https://www.mariachapeu.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/4/64008-stetson_preto-1-tag.png","Chapéu Stetson Pêlo de Lebre 3X Preto
A John B. Stetson Company faz chapéus desde 1865 e o Pêlo de Lebre 3X é um dos modelos mais desejados do mundo. Macio, com carneira de couro e tira de gorgurão — para quem sabe o valor de uma peça assim.
Disponível na Maria Chapéu. 🔗 Link na bio.","Marca: Stetson / Marcatto","7"
"663","Boina Militar de Feltro Verde Militar San Doná","082.61.16.925","Boina","Normal","Não","A Postar","https://www.mariachapeu.com.br/boina-militar-i-de-feltro-verde-militar-san-dona.html","https://www.mariachapeu.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/2/925_boina_militar_i_de_feltro_verde_militar_com_debrum_de_napa.jpg","Boina Militar de Feltro Verde Militar San Doná
Feltro de lã, botão de pressão lateral, ilhoses de ventilação e debrum de couro. A Boina Militar Verde da San Doná é conhecida como Boina da Rota, do BOPE, do GATE — uma peça com história e autoridade em qualquer contexto.
Disponível na Maria Chapéu. 🔗 Link na bio.","Marca: San Doná","8"
"1106","Chapéu Capeline Floppy Castor Sibu Company","110.11.17.027","Chapéu","Normal","Não","A Postar","https://www.mariachapeu.com.br/chapeu-capeline-floppy-castor-sibu-company.html","https://www.mariachapeu.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/2/925_boina_militar_i_de_feltro_verde_militar_com_debrum_de_napa.jpg","Chapéu Capeline Floppy Castor Sibu Company
Feltro macio, aba larga de 9 cm e aquela cor castor que combina com tudo sem esforço. O Floppy da Sibu Company é feito pra quem quer presença de verdade — eventos, shows, passeios ou desfile de moda.
Disponível na Maria Chapéu. 🔗 Link na bio.","Marca: Sibu Company","9"
"240","Boina Inglesa Masculina Oitavada Peaky Blinders Marrom Texturizado","138.00.06.178","Boina","Normal","Não","A Postar","https://www.mariachapeu.com.br/boina-inglesa-masculina-oitavada-peaky-blinders-marrom-texturizado.html","https://www.mariachapeu.com.br/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/1/_/1_40.png","Boina Inglesa Masculina Oitavada Peaky Blinders Marrom Texturizado
Oito gomos, textura marcante e aquele caimento britânico que faz o look mudar inteiro. Inspirada nos Shelby Brothers, a Peaky Blinders Marrom da San Doná vai do casual ao bem produzido sem precisar tentar.
Disponível na Maria Chapéu. 🔗 Link na bio.","Marca: San Doná","10"
