#,Nome do Produto,SKU,Categoria,Prioridade,Repostável,Status Post,Link do Produto,Link da Imagem,Legenda Instagram,Observações,Ordem de Postagem
25116,Chapéu Rock Sport Bangora Marrom Sibu Company,070.01.52.45-ELÁSTICO,Chapéu,Normal,Não,Não Postado,,,,,1
25114,Chapéu Rock Sport Bangora Sibu Company,070.01.51.57-ELÁSTICO,Chapéu,Normal,Não,Não Postado,,,,,2
25104,Chapéu Rock Sport Shantung Sibu Company,084.01.57.13,Chapéu,Normal,Não,Não Postado,,,,,3
18848,Chapéu Diamante Juta Natural Sibu Company,008.05.03.001,Chapéu,Normal,Não,Não Postado,,,,,4
25097,Gorro Militar com Folho Camuflado San Doná,114.00.06.039,Gorro,Normal,Não,Não Postado,,,,,5
25092,Boné Pescador II Camuflado San Doná,132.00.06.039,Boné,Normal,Não,Não Postado,,,,,6
25087,Gorro Camuflado Pala Dura com Viés San Doná,088.00.06.039,Gorro,Normal,Não,Não Postado,,,,,7
24475,Boina Masculina Italiana Classic Xadrez Verde Musgo Verão,081.00.06.Z23,Boina,Normal,Não,Não Postado,,,,,8
25069,Boina Liverpool Pampa Marrom San Doná,111.64.09.053,Boina,Normal,Não,Não Postado,,,,,9
25064,Boina Liverpool Pampa Cinza San Doná,111.64.09.046,Boina,Normal,Não,Não Postado,,,,,10
25059,Boina Liverpool Pampa Bege San Doná,111.64.09.038,Boina,Normal,Não,Não Postado,,,,,11
25054,Boina Liverpool Pampa Marfim San Doná,111.64.09.027,Boina,Normal,Não,Não Postado,,,,,12
25049,Boina Liverpool Pampa Vermelho San Doná,111.64.09.026,Boina,Normal,Não,Não Postado,,,,,13
25044,Boina Liverpool Pampa Verde San Doná,111.64.09.025,Boina,Normal,Não,Não Postado,,,,,14
25039,Boina Liverpool Pampa Azul Marinho San Doná,111.64.09.024,Boina,Normal,Não,Não Postado,,,,,15
25034,Boina Liverpool Pampa Preta San Doná,111.64.09.022,Boina,Normal,Não,Não Postado,,,,,16
25029,Boina Liverpool Street Marrom San Doná,095.64.09.053,Boina,Normal,Não,Não Postado,,,,,17
25024,Boina Liverpool Street Marfim San Doná,095.64.09.027,Boina,Normal,Não,Não Postado,,,,,18
25019,Boina Liverpool Street Vermelho San Doná,095.64.09.026,Boina,Normal,Não,Não Postado,,,,,19
25014,Boina Liverpool Street Verde San Doná,095.64.09.025,Boina,Normal,Não,Não Postado,,,,,20
25009,Boina Liverpool Street Azul Marinho San Doná,095.64.09.024,Boina,Normal,Não,Não Postado,,,,,21
25004,Boina Liverpool Crioulo Marrom San Doná,112.64.09.053,Boina,Normal,Não,Não Postado,,,,,22
24999,Boina Liverpool Crioulo Cinza San Doná,112.64.09.046,Boina,Normal,Não,Não Postado,,,,,23
24994,Boina Liverpool Crioulo Bege San Doná,112.64.09.038,Boina,Normal,Não,Não Postado,,,,,24
24989,Boina Liverpool Crioulo Marfim San Doná,112.64.09.027,Boina,Normal,Não,Não Postado,,,,,25
24984,Boina Liverpool Crioulo Vermelho San Doná,112.64.09.026,Boina,Normal,Não,Não Postado,,,,,26
24979,Boina Liverpool Crioulo Verde San Doná,112.64.09.025,Boina,Normal,Não,Não Postado,,,,,27
24974,Boina Liverpool Crioulo Azul Marinho San Doná,112.64.09.024,Boina,Normal,Não,Não Postado,,,,,28
24969,Boina Liverpool Crioulo Preta San Doná,112.64.09.022,Boina,Normal,Não,Não Postado,,,,,29
24964,Boina Masculina Liverpool Lisa Marfim San Doná,038.64.09.027,Boina,Normal,Não,Não Postado,,,,,30
24959,Boina Masculina Liverpool Lisa Verde San Doná,038.64.09.025,Boina,Normal,Não,Não Postado,,,,,31
24954,Chapéu Bucket II San Doná Verde Militar,126.00.06.091,Chapéu,Normal,Não,Não Postado,,,,,32
